11	4	-2.704915	-5.226030	-6.079868	-6.555363	-8.405270	-5.229026	6.388096	6.460328	3.691901	1.135118	-6.080070	-6.555363	5.259883	7.026161	-11.092146	-6.555363
14	4	-10.873244	-5.994332	0.187887	8.825056	-4.809695	-5.994332	-5.657322	0.147131	-10.873244	-5.994332	5.339669	8.828230	5.837752	5.993364	-9.961494	0.146981
15	4	7.461273	6.943862	-9.156292	-1.774070	3.614924	6.938404	2.289221	5.659619	5.576164	1.154158	-5.904787	-1.669744	-5.152364	-3.001260	5.846914	5.679707
16	4	-6.295006	-3.873495	6.715972	6.682552	5.905279	1.086437	-2.714272	-2.682183	3.509274	6.535297	4.271613	6.681887	9.317935	6.774224	-5.179165	-2.682183
35	4	6.877617	9.699192	-6.641356	0.546371	-3.288695	6.594427	3.341673	9.053499	-8.273474	-2.404261	6.398895	9.085415	-3.302099	0.658596	6.398893	9.085415
42	4	-12.176829	-6.161446	5.899182	5.407377	-8.837151	-6.154705	-6.823815	-5.440752	2.239742	6.408142	-12.134200	-5.440752	-2.291390	4.806649	-9.773315	-5.440752
46	4	-1.755571	4.693815	-9.025211	-3.955352	-7.324351	-2.977789	-2.776793	-3.946196	-10.149218	-2.977790	6.881591	6.189626	4.469443	8.183601	-9.207381	-3.955352
47	4	2.650751	-2.180457	0.719031	-0.508735	-5.855385	-5.955136	6.984943	6.706774	0.040190	-5.163231	0.719031	-0.508735	6.275856	4.706062	-8.093006	-4.202228
49	4	-1.937972	-3.143247	-5.723421	-2.281322	-6.541375	-3.143291	7.013484	8.106405	4.188794	6.398037	-11.644876	-2.281322	-3.693638	2.662262	6.937160	8.106405
56	4	6.267075	5.789773	-7.961003	-4.610605	2.937195	5.729394	-1.651822	5.957059	-4.394655	-5.566119	2.524214	7.331721	-1.052060	-5.565994	-5.330358	-4.610449
70	4	6.401255	7.341809	-9.415885	-6.502738	3.793613	7.276679	2.794871	5.501882	-8.474533	-4.385596	6.368084	5.590494	-5.757083	-4.382347	-5.853450	-6.502738
74	4	6.639294	6.658106	-12.281839	-6.669165	-2.969754	-4.112761	-5.881563	-6.669162	-6.536726	2.066677	6.505006	5.059986	-9.986251	-4.112775	6.649066	5.060079
77	4	1.843820	0.088868	-4.726121	-4.871425	8.193188	6.516052	-10.944399	-4.871425	-2.457142	-3.542161	-4.726121	-4.871425	-6.922173	-3.611303	5.581155	5.612407
88	4	6.928169	6.815592	-5.023139	-5.912735	0.212288	4.766342	6.642073	5.867880	-11.508101	-2.761187	7.850904	5.868560	-4.906816	-2.760525	0.213184	-2.773443
90	4	-3.014744	-9.003658	-5.205412	-4.395568	6.453982	3.578263	-6.129717	-4.396891	-6.400520	-9.003714	6.397863	5.228531	2.502733	3.558947	5.508969	5.222119
99	4	-5.034464	-4.398178	9.609140	7.111572	4.870107	-0.415051	7.307717	0.528044	7.333615	4.939694	4.995986	0.526590	7.333713	4.939694	-1.481243	-2.154778
